en_keyword,ko_keyword,source,overseas_signal,role
labubu,라부부,b_hit,"US/UK/DE hit 100, az_pre 0→81",선례
stanley cup,스탠리텀블러|스탠리 텀블러|스탠리컵,precedent,"US 2023-24 메가트렌드",선례
dubai chocolate,두바이초콜릿|두바이 초콜릿,precedent,"글로벌 틱톡 2024 → KR 두쫀쿠 2026",선례
chiikawa,치이카와,b_hit,"JP 아마존 1위 ×2.2, US hit 95",선례
crocs ballet flats,크록스발레|크록스 발레플랫,precedent,"US 2025-26 → KR 7월 피크 81k",선례
squishy,스퀴시|말랑이,b_hit,"US 틱톡 612억/4주, 아마존 250만",선례
taba squishy,타바스퀴시|타바 스퀴시,amazon_new,"US 아마존 8월 신규진입",후보
pop mart,팝마트|팝마트 피규어,b_hit,"DE/FR/UK/US hit 95",후보
vita coco,비타코코|비타코코 코코넛워터,b_hit,"DE/FR hit 94",후보
coconut water,코코넛워터|코코넛 워터,b_hit,"vita coco 제네릭",후보
sharkninja,샤크닌자|샤크 청소기|닌자 에어프라이어,b_hit,"DE/US hit 91, 가전",후보
armani watch,아르마니시계|아르마니 시계,b_hit,"DE hit 83",후보
magnetic eyelashes,자석속눈썹|자석 속눈썹|마그네틱 속눈썹,amazon_rising,"US 아마존 198만 ×3.3",후보
diamond art kits,보석십자수|다이아몬드 페인팅,amazon_rising,"US 아마존 50만 ×3.6",후보
eos lotion,eos 로션|이오에스 로션|eos 쉐이브크림|이오스 로션,amazon_rising,"US 아마존 95만 ×2.2",후보
tire inflator portable,차량용 공기주입기|타이어 공기주입기|차량용 에어컴프레서|차량용에어펌프,amazon_rising,"US 아마존 16만 ×2.2",후보
halloween decorations,할로윈장식|할로윈 소품|할로윈 데코,amazon_rising,"US 아마존 92만 ×4.4 (시즌)",후보
body mist,바디미스트|바디 미스트,tiktok,"victoriassecretbodymist ×4.7",후보
victoria's secret body mist,빅토리아시크릿바디미스트|빅시 바디미스트|빅토리아시크릿 미스트,tiktok,"raw ×4.7",후보
sanrio,산리오|산리오 굿즈|산리오 인형,tiktok,"sanriocollection ×20.7",후보
prada beauty,프라다뷰티|프라다 뷰티|프라다 립밤,tiktok,"pradabeauty ×5.7 56M/주",후보
teeth whitening strips,치아미백패치|미백패치|치아미백스트립|크레스트 미백,tiktok,"colgateopticwhite ×1.9 파생",후보
alani nu,알라니누|알라니 누,tiktok,"alaninu ×2.4 16M/주",후보
one piece card,원피스카드|원피스 카드게임|원피스 카드,amazon_jp,"JP 아마존 73만 ×3.7",후보
lip scrub,립스크럽|립 스크럽,amazon_jp,"JP 아마존 48만 신규진입",후보
hair bleach,탈색약|셀프탈색|셀프 탈색약|브릿지 탈색,amazon_jp,"JP ブリーチ 105만 ×6.0",후보
ultrasonic cleaner,초음파세척기|초음파 세척기,amazon_jp,"JP 17만 ×4.0",후보
car wash towel,세차수건|세차타월|드라잉타월,amazon_jp,"JP 15만 ×4.5",후보
pdrn,PDRN|피디알엔|연어 pdrn,b_hit,"US/CA/JP hit 95 — K-원산",K원산
rejuran,리쥬란,b_hit,"UK/US hit 94 — K-원산",K원산
medicube,메디큐브,b_hit,"5개국 hit 99 — K-원산",K원산
biodance,바이오던스,b_hit,"FR hit 87 — K-원산",K원산
buldak,불닭|불닭볶음면,tiktok,"buldakchallenge ×18 — K-원산",K원산
