keyword,type,category,origin,consumable,price,novelty,alias_of
AKHG,brand,outdoor,US,no,mid,established,
BJs Brewhouse,restaurant,restaurant,US,no,mid,established,
BJs Restaurant,restaurant,restaurant,US,no,mid,established,
BJs Restaurants,restaurant,restaurant,US,no,mid,established,
Bear Archery,brand,sports,US,no,mid,established,
Canada Goose,brand,fashion,CA,no,luxury,established,
Columbia,brand,outdoor,US,no,mid,established,
Goalrilla,brand,sports,US,no,high,established,
Gold Tip,brand,sports,US,no,mid,established,
GunBroker,retailer,retailer,US,no,mid,established,
Johnny Was,brand,fashion,US,no,high,established,
KitchenAid,brand,home_appliance,US,no,mid,established,
Lilly Pulitzer,brand,fashion,US,no,high,established,
MVMT,brand,watch,US,no,mid,established,
Mikasa,brand,home,JP,no,mid,established,
Onix,brand,sports,US,no,mid,established,
STIGA,brand,sports,EU,no,mid,established,
Tommy Bahama,brand,fashion,US,no,high,established,
Vera Bradley,brand,fashion,US,no,mid,established,
abercrombie,brand,fashion,US,no,mid,established,
adidas,brand,footwear,EU,no,mid,established,
aespa,entity,kpop,KR,no,low,established,
alani nu,brand,food_bev,US,yes,low,established,
american apparel,brand,fashion,US,no,mid,established,
armani watch,product,watch,EU,no,high,established,
asics,brand,footwear,JP,no,mid,resurge,
athleta,brand,fashion,US,no,mid,established,
bamko,brand,other,US,no,mid,established,
banana republic,brand,fashion,US,no,mid,established,
barbie,brand,toy,US,no,low,established,
biodance,brand,beauty,KR,yes,low,new,
blackpink,entity,kpop,KR,no,low,established,
bts,entity,kpop,KR,no,low,established,
buck naked,product,fashion,US,no,mid,established,
buldak,product,food_bev,KR,yes,low,resurge,
bundesliga,entity,sports_league,EU,no,low,established,
burger king,restaurant,restaurant,US,no,low,established,
casio,brand,watch,JP,no,mid,resurge,
cava,restaurant,restaurant,US,no,mid,established,
celsius,brand,food_bev,US,yes,low,established,
chilis,restaurant,restaurant,US,no,mid,established,
coach,brand,fashion,US,no,high,established,
coach watch,product,watch,US,no,high,established,
coleman,brand,outdoor,US,no,mid,established,
colgate,brand,personal_care,US,yes,low,established,
comfort colors,brand,fashion,US,no,mid,resurge,
corona,brand,food_bev,MX,yes,low,established,
cruise,service,travel,other,no,high,established,
cruise tour,service,travel,other,no,high,established,
dior,brand,luxury,EU,no,luxury,established,
dollartree,retailer,retailer,US,no,low,established,
dr pepper,brand,food_bev,US,yes,low,established,
drpepper,brand,food_bev,US,yes,low,established,dr pepper
duluth trading,brand,fashion,US,no,mid,established,
enhypen,entity,kpop,KR,no,low,established,
epl,entity,sports_league,EU,no,low,established,
exo,entity,kpop,KR,no,low,established,
faberware,brand,home_appliance,US,no,mid,established,
fifa,entity,sports_league,other,no,low,established,
fire horse,concept,other,CN,no,low,new,
fire hose,product,other,US,no,mid,established,
fisher price,brand,toy,US,no,mid,established,
five below,retailer,retailer,US,no,low,established,
footjoy,brand,sports,US,no,mid,established,
fossil,brand,watch,US,no,mid,established,
gap,brand,fashion,US,no,mid,established,
gildan,brand,fashion,CA,no,low,established,
gopro,brand,electronics,US,no,high,established,
graco,brand,baby,US,no,mid,established,
gshock,brand,watch,JP,no,mid,resurge,
habitburger,restaurant,restaurant,US,no,low,established,
hamilton beach,brand,home_appliance,US,no,low,established,
hanes,brand,fashion,US,no,low,established,
harley davidson,brand,vehicle,US,no,luxury,established,
heirloom gardening,concept,garden,US,no,low,established,
hello kitty,ip,character_ip,JP,no,low,established,
helly hansen,brand,outdoor,EU,no,high,established,
hills,brand,pet,US,yes,mid,established,
hollister,brand,fashion,US,no,mid,established,
hot wheels,brand,toy,US,no,low,established,
imax,entity,entertainment,US,no,low,established,
itzy,entity,kpop,KR,no,low,established,
kate spade,brand,fashion,US,no,high,established,
katseye,entity,kpop,KR,no,low,new,
kfc,restaurant,restaurant,US,no,low,established,
kpop,concept,entertainment,KR,no,low,established,
kuromi,ip,character_ip,JP,no,low,established,
labubu,product,toy_collectible,CN,no,low,new,
laneige,brand,beauty,KR,yes,mid,resurge,
le sserafim,entity,kpop,KR,no,low,established,
levis,brand,fashion,US,no,mid,established,
longtail T,product,fashion,US,no,mid,established,
louis vuitton,brand,luxury,EU,no,luxury,established,
lululemon,brand,fashion,CA,no,high,established,
maggianos,restaurant,restaurant,US,no,mid,established,
medicube,brand,beauty,KR,yes,mid,new,
michael kors watch,product,watch,US,no,high,established,
miu miu,brand,luxury,EU,no,luxury,resurge,
mlb,entity,sports_league,US,no,low,established,
modelo,brand,food_bev,MX,yes,low,established,
moncler,brand,luxury,EU,no,luxury,established,
monster energy,brand,food_bev,US,yes,low,established,
movado,brand,watch,US,no,high,established,
nba,entity,sports_league,US,no,low,established,
ncaa,entity,sports_league,US,no,low,established,
nct,entity,kpop,KR,no,low,established,
newjeans,entity,kpop,KR,no,low,established,
nfl,entity,sports_league,US,no,low,established,
nike,brand,footwear,US,no,mid,established,
nintendo,brand,gaming,JP,no,high,established,
nmixx,entity,kpop,KR,no,low,established,
old navy,brand,fashion,US,no,low,established,
omnipod 5 overpatches,product,health,US,yes,low,new,
onitsukatiger,brand,footwear,JP,no,mid,resurge,
palm pals,product,toy,US,no,low,new,
paper mate,brand,stationery,US,yes,low,established,
pdrn,ingredient,beauty,KR,yes,mid,new,
pizzahut,restaurant,restaurant,US,no,low,established,
podpals,product,other,US,no,low,new,
pop mart,brand,toy_collectible,CN,no,low,new,
popeyes,restaurant,restaurant,US,no,low,established,
prada,brand,luxury,EU,no,luxury,established,
premier protein,brand,food_bev,US,yes,mid,established,
proctor silex,brand,home_appliance,US,no,low,established,
ralph lauren,brand,fashion,US,no,high,established,
rejuran,brand,beauty,KR,yes,high,new,
riize,entity,kpop,KR,no,low,new,
roblox,entity,gaming,US,no,low,established,
rockstar energy,brand,food_bev,US,yes,low,established,
rubbermaid,brand,home,US,no,low,established,
sally beauty,retailer,retailer,US,no,low,established,
sanex,brand,personal_care,EU,yes,low,established,
sanrio,brand,character_ip,JP,no,low,established,
sephora,retailer,retailer,EU,no,mid,established,
seventeen,entity,kpop,KR,no,low,established,
sharkninja,brand,home_appliance,US,no,mid,resurge,
sharpie,brand,stationery,US,yes,low,established,
speed stick,brand,personal_care,US,yes,low,established,
spotify,service,entertainment,EU,no,low,established,
squishmallow,brand,toy,US,no,low,established,
squishmallows,brand,toy,US,no,low,established,squishmallow
squishy,product,toy,other,no,low,resurge,
stone island,brand,luxury,EU,no,luxury,established,
stray kids,entity,kpop,KR,no,low,established,
tacobell,restaurant,restaurant,US,no,low,established,
the north face,brand,outdoor,US,no,high,established,
the office gurus,entity,other,US,no,low,established,
tim hortons,restaurant,restaurant,CA,no,low,established,
timberland,brand,footwear,US,no,mid,established,
titleist,brand,sports,US,no,high,established,
tommy hilfiger watch,product,watch,US,no,mid,established,
treasure,entity,kpop,KR,no,low,established,
twice,entity,kpop,KR,no,low,established,
txt,entity,kpop,KR,no,low,established,
uefa,entity,sports_league,EU,no,low,established,
ufc,entity,sports_league,US,no,low,established,
under armour,brand,fashion,US,no,mid,established,
uniqlo,brand,fashion,JP,no,low,established,
vans,brand,footwear,US,no,mid,established,
victoria secret,brand,fashion,US,no,mid,established,
victorias secret,brand,fashion,US,no,mid,established,victoria secret
viking cruise,service,travel,other,no,high,established,
vita coco,brand,food_bev,US,yes,low,resurge,
vitiligo cream,product,health,other,yes,mid,established,
weston,brand,home,US,no,mid,established,
wrangler,brand,fashion,US,no,mid,established,
wwe,entity,entertainment,US,no,low,established,
yankee candle,brand,home,US,yes,mid,established,
zegna,brand,luxury,EU,no,luxury,established,
アシックス,,,,,,,asics
アディダス,,,,,,,adidas
アンダーアーマー,,,,,,,under armour
オニツカタイガー,,,,,,,onitsukatiger
カシオ,,,,,,,casio
カナダグース,,,,,,,Canada Goose
クロミ,,,,,,,kuromi
ケイトスペード,,,,,,,kate spade
コロンビア,,,,,,,Columbia
コーチ,,,,,,,coach
ゴープロ,,,,,,,gopro
サンリオ,,,,,,,sanrio
シャークニンジャ,,,,,,,sharkninja
ジーショック,,,,,,,gshock
ストーンアイランド,,,,,,,stone island
セフォラ,,,,,,,sephora
ゼニア,,,,,,,zegna
ティニーピン,ip,character_ip,KR,no,low,new,
ディオール,,,,,,,dior
ナイキ,,,,,,,nike
ニンテンドー,,,,,,,nintendo
ハローキティ,,,,,,,hello kitty
ハーレーダビッドソン,,,,,,,harley davidson
バーガーキング,,,,,,,burger king
バービー,,,,,,,barbie
プラダ,,,,,,,prada
フィッシャー・プライス,,,,,,,fisher price
ブルダック炒め麺,,,,,,,buldak
ホットウィール,,,,,,,hot wheels
ミニフォース,ip,toy,KR,no,low,established,
ミュウミュウ,,,,,,,miu miu
メタルカードボット,product,toy,KR,no,low,new,
モンクレール,,,,,,,moncler
ユニクロ,,,,,,,uniqlo
ラルフローレン,,,,,,,ralph lauren
リーバイス,,,,,,,levis
ルイヴィトン,,,,,,,louis vuitton
콜롬비아,,,,,,,Columbia
